TIPO_RELACIONAMENTO;TP;Produtos Alertados;Empresas Alertadas;Descrição códigos Operacional;códigos Operacional;códigos Operacional M-1;Escore Final M-1;Valor Envolvido;ID Comunicado;Vlr Envolvido Comunicado;códigos Operacional Comunicado;Nova Pontuação;Data limite de análise;Data classificação risco;Data relacionamento Porto;Tempo de Relacionamento Porto;Data de nascimento ou fundação;Pontuação data nasc./fundação;Descrição data nasc./fundação;Cidade;UF;CEP;Pontuação CEP;Descrição CEP Risco;Descrição Endereço Igual;Pontuação Endereço Igual;Descrição Email Igual;Pontuação Email Igual;Última atualização cadastral;Descrição atualização cadastral;Pontuação atualização cadastral;Profissão econômica;Pontuação Profissão econômica;CNAE;Descrição do CNAE;Pontuação atividade econômica;Origem Renda/Fat médio;Renda/Fat médio;Pontuação Renda/Fat médio;Faixa Renda e/ou Fat médio;Renda IBGE;PEP;Pontuação PEP;Dossiê;Pontuação Dossiê;Detalhe da Ocorrência Dossiê;Pontuação Listas de Vigilância;Listas de vigilância;Descrição Listas de Vigilância;Pontuação Mídia;Detalhe/Resumo da Mídia;Pontuação Processos judiciais;Descrição Processos judiciais;Tem sócios?;Escore Socio;Tem participante?;Escore Participante;score_kyc_rep;Score Operacional;Score Produtos;Escore Final;ID;mes_origem;Conclusão
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;BACEN_22;1231;940527;202406000275;917992;BACEN_22;0;9/28/24;8/14/24;12/7/12;11;2/16/82;0;;Sao Paulo;SP;05639-010;0;;Endereço igual;;;0;Sat Jul 27 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;50;;;0;PH3A;6833;50;Renda mensal entre 5 e 15 Mil;19737;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;450;600;181;1231;202407000378;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;;;3780087;202311004306;2341092;BACEN_22;0;9/28/24;8/14/24;10/19/23;0;1/31/72;0;;Recife;PE;51111-240;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Mon Jul 29 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADMINISTRADORES;0;;;0;PH3A;13822;50;Renda mensal entre 5 e 15 Mil;16195;Não;0;Não;0;;0;;;0;;0;;Não;;Sim;171;420;600;181;1201;202407000380;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;;;1305301;202404000852;1169865;BACEN_22;0;9/28/24;8/14/24;11/20/12;11;7/27/79;0;;Sao Paulo;SP;05707-001;0;;;;;0;Sat Jul 27 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;OUTROS TRABALHADORES DOS SERVICOS;0;;;0;PH3A;8463;50;Renda mensal entre 5 e 15 Mil;14005;Não;0;Não;0;;0;;;0;;0;;Não;;Sim;200;350;600;181;1131;202407000405;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;BACEN_22;1052;501770;202406000362;428176;BACEN_22;0;9/28/24;8/14/24;1/23/15;9;7/22/95;0;;Sao Paulo;SP;03953-000;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Sat Jul 27 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;OUTROS TRABALHADORES DOS SERVICOS;0;;;0;PH3A;6670;50;Renda mensal entre 5 e 15 Mil;2953;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;320;600;181;1101;202407000423;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;SUSEP_01 / BACEN_22 / BACEN_23;1811;1168627;;;;0;9/28/24;8/14/24;11/17/12;11;5/14/70;0;;Sao Paulo;SP;05707-001;0;;;;;0;Wed Jun 12 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADMINISTRADORES;0;;;0;QUOD;100000;100;Renda mensal superior a 50 Mil;14005;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;200;600;181;981;202407000508;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;BACEN_22;912;677687;202406000488;604918;BACEN_22;0;9/28/24;8/14/24;4/19/16;8;3/10/88;0;;Sao Caetano De Do Su;SP;09560-520;0;;;;;0;Tue Jul 23 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;PRODUTOR CULTURAL;0;;;0;QUOD;3500;30;Renda mensal entre 2.400 e 5 Mil;9253;Não;0;Não;0;;0;;;0;;0;;Não;;Sim;131;131;600;181;912;202407000593;202407;Comunicar
Cliente Global;F;Capitalização;PortoCap;Incompatibilidade financeira - Valor do aluguel, maior ou igual a R$ 10.000,00 e que seja maior ou igual a 250% a renda, deverá ser pontuado.;SUSEP_20;;;84000;;;;0;9/28/24;8/14/24;7/26/24;0;11/9/04;0;Entre 18 e 24 anos;Sao Paulo;SP;02345-090;0;;;;;0;Fri Jul 26 2024 00:00:00 GMT-0300 (Hora oficial do Brasil);;0;OUTROS TRABALHADORES DOS SERVICOS;0;;;0;QUOD;1400;30;Renda mensal menor que 2.400 Mil;12408;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;30;850;80;960;202407000531;202407;Não Comunicar
Cliente Global;J;Saúde;Saúde;Verificar situações em que o prêmio pago corresponde a 80% do faturamento mensal do segurado.;ANS_01;;;23646,03;;;;;9/28/24;8/14/24;3/15/20;4;2/27/19;0;;Nao Informado;;-3 --3;0;;;0;;0;1/24/24;;0;;0;5611204;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;0;Serasa;11.250,00;10;Faturamento mensal menor que 180 Mil;;Não;0;Não;0;;0;;;0;;0;;Sim;430;Não;;430;500;75;1005;202407000485;202407;Não Comunicar
Cliente Global;J;Saúde;Saúde;Verificar situações em que o prêmio pago corresponde a 80% do faturamento mensal do segurado.;ANS_01;;;9052;;;;0;9/28/24;8/14/24;4/10/23;1;5/30/95;0;;Duque De Caxias;RJ;25015-500;50;CEPs com restrição de entrega pelos Correios;CEPs com restrição de entrega pelos Correios;;;0;Tue Apr 11 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília);Atualização Cadastral;1;;0;4755501;COMERCIO VAREJISTA DE TECIDOS;0;Serasa;11.250,00;10;Faturamento mensal menor que 180 Mil;3998;Socio PEP;350;Não;0;;0;;;0;;0;;Sim;380;Não;;411;500;75;986;202407000500;202407;Não Comunicar
Cliente Global;J;Consórcio;Consórcio;Clientes que ofereçam lances de valor igual ou superior ao equivalente à renda ou faturamento anual declarado, e cujo valor do lance seja igual ou superior a R$ 50.000,00.;BACEN_09;;;777507;;;;0;9/28/24;8/14/24;8/23/22;1;8/3/12;0;;Formoso Do Araguaia;TO;77470-000;0;;;;;0;Mon Oct 24 2022 00:00:00 GMT-0300 (Horário Padrão de Brasília);Atualização Cadastral;1;;0;4924800;TRANSPORTE ESCOLAR;0;Serasa;11.250,00;10;Faturamento mensal menor que 180 Mil;4062;Socio PEP;350;Não;0;;0;;;0;;0;;Sim;550;Não;;550;600;100;1250;202407000375;202407;Não Comunicar
Cliente Global;F;Consórcio;Consórcio;Clientes que ofereçam lances de valor igual ou superior ao equivalente à renda ou faturamento anual declarado, e cujo valor do lance seja igual ou superior a R$ 50.000,00.;BACEN_09;BACEN_09;945;225173;;;;0;9/28/24;8/14/24;9/5/13;10;6/22/62;0;;Cuiaba;MT;78048-004;0;;;;;0;Thu Jun 20 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;MEDICO CLINICO;0;;;0;QUOD;15.207,00;70;Renda mensal entre 15 e 35 Mil;9100;Relacionado;125;Sim;50;Código: 34 - ORDEM MEDICA;0;;;0;;0;;Não;;Não;;245;600;100;945;202407000547;202407;Não Comunicar
Cliente Global;J;CDC;Porto Seg;Clientes CDC Pessoal que solicitem financiamento/empréstimo que apresentem comprometimento elevado da renda/faturamento nas parcelas mensais. Comprometimento do faturamento mensal ou renda (PJ / PF) acima de 100% na parcela do financiamento e parcela mensal total maior que R$4.000. Excluindo os prod;BACEN_25;;;9805;;;;0;9/28/24;8/14/24;9/30/16;7;8/2/12;0;;Sao Paulo;SP;04317-000;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Tue Jul 23 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;0;5229002;SERVICOS DE REBOQUE DE VEICULOS;0;Serasa;9.167,00;10;Faturamento mensal menor que 180 Mil;9611;Não;0;Não;0;;0;;;0;;0;;Sim;140;Não;;140;800;54;994;202407000493;202407;Não Comunicar
Cliente Global;J;CDC;Porto Seg;Clientes CDC Pessoal que solicitem financiamento/empréstimo que apresentem comprometimento elevado da renda/faturamento nas parcelas mensais. Comprometimento do faturamento mensal ou renda (PJ / PF) acima de 100% na parcela do financiamento e parcela mensal total maior que R$4.000. Excluindo os prod;BACEN_25;;;10106;;;;0;9/28/24;8/14/24;1/1/19;5;8/16/18;0;;Limeira;SP;13482-231;0;;;;;0;Wed Jul 10 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;0;5229002;SERVICOS DE REBOQUE DE VEICULOS;0;Serasa;7.500,00;10;Faturamento mensal menor que 180 Mil;5773;Não;0;Não;0;;0;;;0;;0;;Sim;50;Não;;50;800;54;904;202407000605;202407;Não Comunicar
Cliente Global;J;Capitalização;PortoCap;Incompatibilidade financeira - Valor do aluguel, maior ou igual a R$ 10.000,00 e que seja maior ou igual a 250% a renda, deverá ser pontuado.;SUSEP_20;;;200000;;;;0;9/28/24;8/14/24;7/27/21;3;6/17/20;0;;Jundiai;SP;13208-056;50;CEPs de regiões próximas a rodoviárias;CEPs de regiões próximas a rodoviárias;;;0;Tue Jan 23 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;0;Serasa;9.167,00;10;Faturamento mensal menor que 180 Mil;11617;Não;0;Não;0;;0;;;0;;0;;Sim;100;Não;;100;850;80;1030;202407000467;202407;Não Comunicar
Cliente Global;J;Capitalização;PortoCap;Incompatibilidade financeira - Valor do aluguel, maior ou igual a R$ 10.000,00 e que seja maior ou igual a 250% a renda, deverá ser pontuado.;SUSEP_20;;;250000;;;;0;9/28/24;8/14/24;7/29/24;0;9/24/20;0;;Sao Paulo;SP;02237-000;0;;;;;0;Mon Jul 29 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;0;Serasa;18.333,00;10;Faturamento mensal menor que 180 Mil;3681;Não;0;Não;0;;0;;;0;;0;;Sim;0;Não;;10;850;80;940;202407000556;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;COAF_03;1020;326000;;;;0;9/28/24;8/14/24;7/26/22;2;7/26/62;0;;Sao Jose Do Rio Preto;SP;15045-550;0;;;;;0;Tue May 14 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;50;;;0;QUOD;1.834,00;30;Renda mensal menor que 2.400 Mil;3993;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;280;1200;140;1620;202407000340;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;BACEN_32 / COAF_03 / COAF_11;1610;625150;202403000484;696974;COAF_03 / COAF_11;0;9/28/24;8/14/24;2/15/12;12;9/2/78;0;;Osasco;SP;06020-010;0;;;;;0;Tue May 07 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADMINISTRADOR;0;;;0;QUOD;18.867,00;70;Renda mensal entre 15 e 35 Mil;14555;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;270;1200;140;1610;202407000342;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;COAF_03;870;598748;202405000241;743612;COAF_03 / COAF_11;0;9/28/24;8/14/24;5/7/24;0;2/18/99;0;;Castilho;SP;16920-000;50;CEPs de regiões próximas a rodoviárias;CEPs de regiões próximas a rodoviárias;;;0;Tue May 07 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;50;;;0;QUOD;1.371,00;30;Renda mensal menor que 2.400 Mil;4205;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;230;1200;140;1570;202407000344;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;COAF_03;961;540942;202401000348;644002;COAF_03 / COAF_11;0;9/28/24;8/14/24;4/18/15;9;9/22/87;0;;Porto Alegre;RS;91110-000;0;;;;;0;Wed Oct 26 2022 00:00:00 GMT-0300 (Horário Padrão de Brasília);Atualização Cadastral;1;;50;;;0;QUOD;18.763,00;70;Renda mensal entre 15 e 35 Mil;4853;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;221;1200;140;1561;202407000345;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;COAF_03 / COAF_11;1470;2228916;202311004274;1120000;COAF_03 / COAF_11;0;9/28/24;8/14/24;11/25/20;3;9/18/64;0;;Guarulhos;SP;07040-030;0;;;;;0;Wed Jul 24 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADMINISTRADOR;0;;;0;QUOD;4.906,00;30;Renda mensal entre 2.400 e 5 Mil;7625;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;130;1200;140;1470;202407000351;202407;Não Comunicar
Cliente Global;J;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão;COAF_03;COAF_03;1031;961548;202401000528;2360364;COAF_03;0;9/28/24;8/14/24;9/14/19;4;2/17/17;0;;Sao Paulo;SP;02117-001;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Fri May 12 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília);Atualização Cadastral;1;;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS USADOS;100;Serasa Site;216.667,00;20;Faturamento mensal entre 180 e 360 Mil;6582;Não;0;Não;0;;0;;;0;;0;;Sim;130;Não;;291;600;140;1031;202407000462;202407;Não Comunicar
Cliente Global;J;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão;COAF_03;COAF_03;960;412261;;;;0;9/28/24;8/14/24;6/29/22;2;8/6/21;0;;Sao Paulo;SP;05533-000;0;;;;;0;Fri Oct 28 2022 00:00:00 GMT-0300 (Horário Padrão de Brasília);Atualização Cadastral;1;;0;4520001;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;0;Serasa;13.333,00;10;Faturamento mensal menor que 180 Mil;13047;Não;0;Não;0;;0;;;0;;0;;Sim;220;Sim;220;220;600;140;960;202407000536;202407;Não Comunicar
